Amount;Product_name;Sub_Category
18;KI Adjustable-Height Table;Tables
16;Staple-based wall hangings;Furnishings
15;Situations Contoured Folding Chairs, 4/Set;Chairs
14;Global High-Back Leather Tilter, Burgundy;Chairs
14;Global Wood Trimmed Manager's Task Chair, Khaki;Chairs
14;Eldon Wave Desk Accessories;Furnishings
13;SAFCO Arco Folding Chair;Chairs
13;Chromcraft Round Conference Tables;Tables
12;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;Chairs
12;Eldon Expressions Wood Desk Accessories, Oak;Furnishings
